regione,somministrazioni,percentuale,dosiConsegnate,aggiornamento,codice_regione,dataAggiornamento
Lazio,41242,67.163912,61405,1/6/2021 11:01:31 PM,12,2021-01-06 
Liguria,9109,31.855219,28595,1/6/2021 11:01:31 PM,07,2021-01-06 
Lombardia,23641,21.522145,109845,1/6/2021 11:01:31 PM,03,2021-01-06 
Marche,6984,44.202532,15800,1/6/2021 11:01:31 PM,11,2021-01-06 
Molise,1473,29.908629,4925,1/6/2021 11:01:31 PM,14,2021-01-06 
P.A. Bolzano,2343,33.615495,6970,1/6/2021 11:01:31 PM,21,2021-01-06 
P.A. Trento,4315,62.310469,6925,1/6/2021 11:01:31 PM,22,2021-01-06 
Piemonte,25690,41.867666,61360,1/6/2021 11:01:31 PM,01,2021-01-06 
Puglia,19191,60.529885,31705,1/6/2021 11:01:31 PM,16,2021-01-06 
Sardegna,3635,18.470528,19680,1/6/2021 11:01:31 PM,20,2021-01-06 
Sicilia,35361,44.939950,78685,1/6/2021 11:01:31 PM,19,2021-01-06 
Toscana,25411,79.858580,31820,1/6/2021 11:01:31 PM,09,2021-01-06 
Umbria,3759,38.220641,9835,1/6/2021 11:01:31 PM,10,2021-01-06 
Valle Aosta,402,20.406091,1970,1/6/2021 11:01:31 PM,02,2021-01-06 
Veneto,36929,84.360937,43775,1/6/2021 11:01:31 PM,05,2021-01-06 
Abruzzo,5835,49.302915,11835,1/7/2021 9:29:39 AM,13,2021-01-07 
Basilicata,3091,39.101834,7905,1/7/2021 9:29:39 AM,17,2021-01-07 
Calabria,4030,15.723761,25630,1/7/2021 9:29:39 AM,18,2021-01-07 
Campania,31273,54.606251,57270,1/7/2021 9:29:39 AM,15,2021-01-07 
Emilia-Romagna,31786,53.444304,59475,1/7/2021 9:29:39 AM,08,2021-01-07 
Friuli-Venezia Giulia,7293,36.898558,19765,1/7/2021 9:29:39 AM,06,2021-01-07 
Lazio,41242,67.163912,61405,1/7/2021 9:29:39 AM,12,2021-01-07 
Liguria,9109,31.855219,28595,1/7/2021 9:29:39 AM,07,2021-01-07 
Lombardia,23749,21.620465,109845,1/7/2021 9:29:39 AM,03,2021-01-07 
Marche,6984,44.202532,15800,1/7/2021 9:29:39 AM,11,2021-01-07 
Molise,1473,29.908629,4925,1/7/2021 9:29:39 AM,14,2021-01-07 
P.A. Bolzano,2343,33.615495,6970,1/7/2021 9:29:39 AM,21,2021-01-07 
P.A. Trento,4357,62.916968,6925,1/7/2021 9:29:39 AM,22,2021-01-07 
Piemonte,25690,41.867666,61360,1/7/2021 9:29:39 AM,01,2021-01-07 
Puglia,19191,60.529885,31705,1/7/2021 9:29:39 AM,16,2021-01-07 
Sardegna,3635,18.470528,19680,1/7/2021 9:29:39 AM,20,2021-01-07 
Sicilia,35361,44.939950,78685,1/7/2021 9:29:39 AM,19,2021-01-07 
Toscana,25411,79.858580,31820,1/7/2021 9:29:39 AM,09,2021-01-07 
Umbria,3759,38.220641,9835,1/7/2021 9:29:39 AM,10,2021-01-07 
Valle Aosta,402,20.406091,1970,1/7/2021 9:29:39 AM,02,2021-01-07 
Veneto,36929,84.360937,43775,1/7/2021 9:29:39 AM,05,2021-01-07 
